id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
205438350 12.8271 0.0211364012211561 0.00350000010803342 1918.23181152344 1587.931640625 84.640357 -2.7377 0.001261483 0.0 14.1539 35300 V Visual 2459132.68217737 7 2 "[5] SigmaOri" 34408
213056582 12.7126 0.0145397521555424 0.00279999990016222 1944.29077148438 1590.99450683594 84.640371 -2.7377 0.001031856 0.0 14.2473 38204 V Visual 2459176.57547888 7 2 "[5] SigmaOri" 37068
224365843 13.5878 0.0462707355618477 0.0171000007539988 1936.47583007812 1586.81787109375 84.640362 -2.7377 0.00114206 0.0 15.6788 44176 B Blue 2459274.35184722 7 2 "[5] SigmaOri" 42889
227506803 11.9351 0.0186726842075586 0.0007999999797903 1945.02893066406 1581.5048828125 84.64038 -2.737698 0.001017463 0.0 12.4284 44898 R Red 2459281.3045761 7 2 "[5] SigmaOri" 44059
212480236 11.6263 0.0402119234204292 0.000899999984540045 1993.65209960938 1593.65759277344 84.640387 -2.737697 0.001294757 2.0 12.9441 38119 I I-Band 2459173.58485677 7 2 "[5] SigmaOri" 36988
220087616 14.3174 0.038260456174612 0.0142000000923872 2005.77062988281 1589.19396972656 84.64032 -2.737697 0.001116418 0.0 16.0191 41903 B Blue 2459237.4191739 7 2 "[5] SigmaOri" 40681
224069711 11.9901 0.0405263379216194 0.00120000005699694 2214.6572265625 2725.81982421875 84.640564 -2.737692 0.000816572 0.0 12.8208 43975 R Red 2459273.30751157 7 2 "[5] SigmaOri" 42800
151356604 13.0901 0.0894061923027039 0.00620000017806888 1947.62414550781 1576.61376953125 84.64037 -2.737691 0.001423526 0.0 15.0714 20122 V Visual 2458821.69280237 7 2 "[5] SigmaOri" 22813
213335282 12.4887 0.0439289622008801 0.00540000014007092 1974.05773925781 1587.48107910156 84.640353 -2.737689 0.001118491 0.0 14.7262 38246 V Visual 2459177.58899305 7 2 "[5] SigmaOri" 37099
220176518 14.1581 0.0450076870620251 0.016100000590086 2003.05456542969 1589.86328125 84.640308 -2.737689 0.001065304 0.0 15.9718 41959 B Blue 2459238.44385995 7 2 "[5] SigmaOri" 40752
224372563 11.3724 0.0335047580301762 0.00179999996908009 1937.4755859375 1584.66333007812 84.64035 -2.737689 0.001029158 0.0 13.4680 44174 I I-Band 2459274.35867824 7 2 "[5] SigmaOri" 42887
220019055 11.8219 0.0332697927951813 0.0015999999595806 2007.09814453125 1587.81762695312 84.640316 -2.737688 0.001035165 0.0 13.6728 41905 I I-Band 2459237.4260055 7 2 "[5] SigmaOri" 40679
220972008 12.4901 0.0161333326250315 0.0019000000320375 1979.23559570312 1580.55786132812 84.640303 -2.737688 0.001292591 0.0 13.3133 42163 V Visual 2459249.42394676 7 2 "[5] SigmaOri" 41040
213044544 11.5936 0.0369509905576706 0.00120000005699694 1943.39526367188 1589.44604492188 84.640357 -2.737687 0.001019754 0.0 13.4647 38202 I I-Band 2459176.57197049 7 2 "[5] SigmaOri" 37070
226698885 11.4725 0.0377744734287262 0.000600000028498471 2008.77429199219 1605.58435058594 84.640327 -2.737687 0.0009881513 2.0 12.5074 44636 I I-Band 2459280.30889902 7 2 "[5] SigmaOri" 43950
220189776 12.8774 0.0220585521310568 0.00370000000111759 2003.08471679688 1589.85754394531 84.640357 -2.737686 0.001024342 0.0 13.9780 41961 V Visual 2459238.45002026 7 2 "[5] SigmaOri" 40750
223136808 11.1201 0.0350440517067909 0.0007999999797903 1955.8720703125 1565.12915039062 84.640333 -2.737685 0.001364742 2.0 12.6498 43210 I I-Band 2459264.37842593 7 2 "[5] SigmaOri" 42467
220185252 12.3007 0.0162299182265997 0.0019000000320375 2002.98559570312 1587.884765625 84.640319 -2.737684 0.0009488849 0.0 13.3788 41962 R Red 2459238.44820602 7 2 "[5] SigmaOri" 40751
213351558 13.6999 0.0389403067529202 0.0105999996885657 1972.26623535156 1587.29699707031 84.640349 -2.737683 0.001077461 0.0 16.1746 38243 B Blue 2459177.58764403 7 2 "[5] SigmaOri" 37102
50280818 11.3408 0.0342884063720703 0.000300000014249235 1915.08874511719 1479.76477050781 84.640372 -2.737682 0.0009743759 2.0 11.8227 3986 I I-Band 2458185.34813223 7 2 "[5] SigmaOri" 3704
