id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
145888523 14.1583 0.211016342043877 0.150299996137619 1012.20758056641 1197.44287109375 83.792616 -5.776515 0.001606341 0.0 17.1299 16194 B B 2457409.52099537 84 131 "[3] M42" 15592
161123442 14.7329 0.155599996447563 0.107400000095367 424.488403320312 150.814407348633 83.79287 -5.776515 0.0008375791 0.0 17.3251 26458 B B 2458547.49421296 84 131 "[3] M42" 24587
174613416 13.0493 0.114057615399361 0.0593999996781349 486.069000244141 51.5923004150391 83.792934 -5.776514 0.001377527 0.0 16.4127 29429 V V 2458950.46805556 84 131 "[3] M42" 28647
276084871 12.4745 0.0932893306016922 0.0272000003606081 1336.40124511719 333.984008789062 83.792954 -5.776514 0.001714053 0.0 15.2455 49095 R R 2459320.4652662 84 131 "[3] M42" 47774
158421050 14.1988 0.185896769165993 0.101400002837181 994.477600097656 1189.12817382812 83.793446 -5.776512 0.001803152 0.0 16.7753 24221 B B 2457262.91258102 84 131 "[3] M42" 21694
176630088 12.2822 0.0516665354371071 0.0315000005066395 488.636688232422 55.3706016540527 83.792765 -5.776511 0.001215892 0.0 15.5616 29684 I I 2458948.46923611 84 131 "[3] M42" 28776
174452593 13.2841 0.211902901530266 0.157199993729591 473.565002441406 69.5538024902344 83.792804 -5.77651 0.001666007 0.0 17.9110 29381 V V 2458942.47287037 84 131 "[3] M42" 28633
176699458 12.4815 0.118139766156673 0.0518000014126301 490.734802246094 52.2243995666504 83.793057 -5.77651 0.002006319 0.0 15.7751 29737 I I 2458970.45678241 84 131 "[3] M42" 28816
176700477 12.9076 0.1082444190979 0.0741000026464462 489.26611328125 54.3065986633301 83.792953 -5.77651 0.00162775 0.0 16.2366 29733 I I 2458968.45738426 84 131 "[3] M42" 28812
18407008 12.2757 0.038451511412859 0.000600000028498471 1968.57434082031 3544.76245117188 83.792698 -5.776509 0.001219053 0.0 11.8826 1285 R Red 2457698.61665871 7 2 "[3] M42" 1187
146136892 13.9970 0.0876232162117958 0.131899997591972 947.348083496094 1168.12365722656 83.793622 -5.776509 0.001452386 0.0 16.9314 16416 B B 2457656.89681713 84 131 "[3] M42" 15829
362203205 12.4163 0.0723935812711716 0.00120000005699694 1952.5361328125 535.153869628906 83.793183 -5.776509 0.00114999 0.0 13.2578 62814 I I-Band 2459607.42589616 7 2 "[3] M42" 61807
23145312 12.4436 0.00938977673649788 0.00100000004749745 1999.69213867188 600.3740234375 83.792871 -5.776508 0.00128706 0.0 12.5562 1779 I I-Band 2457798.36916522 7 2 "[3] M42" 1614
145426338 13.9367 0.0351898409426212 0.136000007390976 975.364196777344 1171.71179199219 83.793726 -5.776508 0.001388401 0.0 16.9074 15955 B B 2457659.89356481 84 131 "[3] M42" 15380
145999698 14.6541 0.234070152044296 0.164399996399879 331.680786132812 35.0503997802734 83.792977 -5.776507 0.00119552 0.0 17.7588 16252 B B 2457440.49998843 84 131 "[3] M42" 15637
226612420 14.3485 0.128190562129021 0.0173000004142523 232.266296386719 1486.03845214844 83.792828 -5.776507 0.002935212 2.0 26.1930 44571 B Blue 2459280.33819444 58 150 "[3] M42" 43868
145554124 14.1333 0.064891628921032 0.130199998617172 343.849304199219 111.325401306152 83.792849 -5.776506 0.001036672 0.0 17.1175 15988 B B 2457681.8778588 84 131 "[3] M42" 15422
328370913 12.4501 0.0731571316719055 0.0208000000566244 231.970901489258 1236.38818359375 83.793119 -5.776506 0.001523271 0.0 14.9532 55703 R R 2459449.90695602 84 131 "[3] M42" 54118
176683539 12.6037 0.227504521608353 0.0741999968886375 498.199890136719 45.4432983398438 83.793048 -5.776502 0.001530859 0.0 16.3638 29726 I I 2458964.46032407 84 131 "[3] M42" 28805
149128951 13.6378 0.124986179172993 0.0597000010311604 460.317291259766 24.8120994567871 83.792925 -5.776499 0.001072725 0.0 16.7043 18733 V V 2458432.85082176 84 131 "[3] M42" 17429
150392299 14.5986 0.1708043217659 0.0856999978423119 418.343811035156 145.303497314453 83.793772 -5.776499 0.001051398 0.0 16.9649 19652 B B 2458399.88015046 84 131 "[3] M42" 18165
150392701 14.5986 0.1708043217659 0.0856999978423119 418.343811035156 145.303497314453 83.793772 -5.776499 0.001051398 0.0 16.9649 19652 B B 2458399.88015046 84 131 "[3] M42" 18165
148345970 14.3591 0.136331021785736 0.173800006508827 405.48388671875 168.928497314453 83.793669 -5.776498 0.00213004 0.0 17.3305 18102 B B 2458032.88886574 84 131 "[3] M42" 16967
153548734 14.2063 0.222379326820374 0.0773999989032745 159.967803955078 1000.06848144531 83.793355 -5.776498 0.001600966 0.0 16.9716 21407 B B 2456676.52297454 84 131 "[3] M42" 19917
157244709 13.1587 0.110707141458988 0.0071000000461936 2386.69213867188 4914.09814453125 83.793143 -5.776498 0.003152621 2.0 24.9262 23164 V Green 2458869.39861111 58 150 "[3] M42" 25757
176698753 12.5880 0.133897960186005 0.0570000000298023 490.859588623047 52.8230018615723 83.793011 -5.776498 0.002351034 0.0 15.8831 29738 I I 2458970.45688657 84 131 "[3] M42" 28817
276081812 12.5085 0.0700355693697929 0.023700000718236 1319.697265625 334.736999511719 83.793045 -5.776497 0.001001179 0.0 15.2349 49088 R R 2459316.4677662 84 131 "[3] M42" 47767
3396929 13.1056 0.0580781772732735 0.00130000000353903 2013.47216796875 580.034729003906 83.793072 -5.776496 0.001206747 0.0 12.5595 209 V Visual 2457421.36161458 7 2 "[3] M42" 190
150450485 15.1337 0.180305138230324 0.188999995589256 423.661499023438 102.31559753418 83.79312 -5.776495 0.002256852 0.0 17.5972 19785 B B 2458458.84665509 84 131 "[3] M42" 18284
174904983 13.0270 0.134017825126648 0.0654999986290932 503.365203857422 38.0413017272949 83.793031 -5.776495 0.001642494 0.0 16.4313 29491 V V 2458965.45946759 84 131 "[3] M42" 28677
158438949 14.1943 0.123092405498028 0.104500003159046 994.381713867188 1189.29418945312 83.793494 -5.776494 0.001516793 0.0 16.8244 24256 B B 2457275.90409722 84 131 "[3] M42" 21720
150429567 14.3603 0.148056998848915 0.114900000393391 385.388000488281 138.12809753418 83.793561 -5.77649 0.001232165 0.0 16.7656 19738 B B 2458435.85688657 84 131 "[3] M42" 18237
159180923 14.0950 0.215444296598434 0.131999999284744 1268.27673339844 1076.82434082031 83.792702 -5.77649 0.001933202 0.0 16.9363 24597 B B 2457386.58195602 84 131 "[3] M42" 21905
